"SEKCJA","ZADANIE / ELEMENT","WYKONAWCA","CZAS / RBH","PRIORYTET","TYP","ILOŚĆ NA START","DOCELOWO","STATUS"
"","","","","","","","",""
"INFRASTRUKTURA (jednorazowo)","Szablon Hugo (responsywny + SEO + Schema)","Claude Code","8h","P0","","","","Do zbudowania"
"INFRASTRUKTURA (jednorazowo)","Pipeline Python (research + generowanie + weryfikacja + publikacja)","Claude Code","16h","P0","","","","Do zbudowania"
"INFRASTRUKTURA (jednorazowo)","Konto Cloudflare + konfiguracja Pages","Mateusz + Claude Code","2h","P0","","","","Do skonfigurowania"
"INFRASTRUKTURA (jednorazowo)","Konto GitHub (organizacja + repo-szablon)","Mateusz + Claude Code","1h","P0","","","","Do skonfigurowania"
"INFRASTRUKTURA (jednorazowo)","Skrypt dystrybucji social media (FB API)","Claude Code","8h","P1","","","","Do zbudowania"
"INFRASTRUKTURA (jednorazowo)","Skrypt monitoringu indeksacji (GSC API)","Claude Code","4h","P1","","","","Do zbudowania"
"","","","","","","","",""
"NARZEDZIA I DOSTEPY","Claude Code (subskrypcja PRO)","Mateusz","ongoing","P0","","","","Aktywne"
"NARZEDZIA I DOSTEPY","Senuto API (keyword research + monitoring)","Mateusz/TC","ongoing","P0","","","","Sprawdzic dostep API"
"NARZEDZIA I DOSTEPY","Google Search Console (monitoring indeksacji)","Mateusz/TC","ongoing","P0","","","","Aktywne"
"NARZEDZIA I DOSTEPY","Claude API / OpenAI API / Gemini API (generowanie contentu)","Mateusz","ongoing","P0","","","","Do skonfigurowania"
"NARZEDZIA I DOSTEPY","SerpAPI lub wlasny scraper SERP","Claude Code","4h","P1","","","","Do decyzji"
"NARZEDZIA I DOSTEPY","Dostep Facebook Graph API","Mateusz","2h","P1","","","","Do skonfigurowania"
"","","","","","","","",""
"ETAP 0: SEGMENTACJA NISZ","Eksport listy domen klientow z kategoriami","Mateusz/MZ","4h","P0","","","","Do zrobienia"
"ETAP 0: SEGMENTACJA NISZ","Analiza i propozycja granularnej taksonomii","Claude Code","4h","P0","","","","Czeka na dane"
"ETAP 0: SEGMENTACJA NISZ","Akceptacja listy nisz + priorytetyzacja","Mateusz","2h","P0","","","","Czeka na propozycje"
"ETAP 0: SEGMENTACJA NISZ","Poprawna kategoryzacja domen klientow w systemie","MZ","ongoing","P0","","","","Do zrobienia"
"","","","","","","","",""
"ETAP 1: SETUP PORTALU (per portal)","Rejestracja domeny","Mateusz","0.5h","P0","","","","Per portal"
"ETAP 1: SETUP PORTALU (per portal)","Klonowanie szablonu Hugo + konfiguracja brandingu","Claude Code","1h","","","","","Per portal"
"ETAP 1: SETUP PORTALU (per portal)","Podpiecie domeny do Cloudflare Pages","Claude Code","0.5h","","","","","Per portal"
"ETAP 1: SETUP PORTALU (per portal)","Tworzenie profili autorow (2-3 per portal)","Claude Code","1h","","","","","Per portal"
