URL,Title,H1,Fraza główna,Wolumen,Frazy dodatkowe,Wolumeny dodatkowych
/modele/fiat-ducato/,"Fiat Ducato – generacje, wersje, dane techniczne | BusManiak.pl",Fiat Ducato – kompletny przewodnik po modelu,fiat ducato wiki,320,ducato l2h2 wymiary; fiat ducato dane techniczne; fiat ducato waga; fiat ducato ładowność; fiat ducato wikipedia; fiat ducato benzyna; ducato wiki; fiat ducato wymiary wewnętrzne; fiat ducato maxi ładowność; ile waży fiat ducato,320; 260; 210; 210; 170; 140; 140; 140; 90; 90
/modele/fiat-ducato-maxi/,"Fiat Ducato Maxi – wersje, dane techniczne, ceny | BusManiak.pl",Fiat Ducato Maxi – kompletny przewodnik po modelu,ducato maxi,1300,fiat ducato wymiary; fiat ducato l3h2; ducato maxi wymiary; ducato wymiary; fiat ducato maxi wymiary; fiat ducato wymiary paki; ducato l2h2 wymiary paki; ducato l1h1 wymiary; wysokość busa; ducato l3h2 wymiary paki,1000; 590; 480; 480; 390; 320; 320; 320; 320; 260
/modele/mercedes-sprinter/,"Mercedes Sprinter – generacje, wersje, dane techniczne | BusManiak.pl",Mercedes Sprinter – kompletny przewodnik po modelu,mercedes sprinter,0,,
/modele/iveco-daily/,"Iveco Daily – generacje, wersje, dane techniczne | BusManiak.pl",Iveco Daily – kompletny przewodnik po modelu,iveco daily,22200,iveco daily 3.0; iveco daily wymiary; iveco daily 35c15; bus iveco daily; iveco daily 3; iveco 35c15; iveco daily maxi wymiary; iveco daily ładowność; iveco daily wiki; iveco 3,2900; 880; 720; 720; 480; 390; 320; 260; 260; 260
/modele/ford-transit/,"Ford Transit – generacje, wersje, dane techniczne | BusManiak.pl",Ford Transit – kompletny przewodnik po modelu,ford transit,27100,ford transit wikipedia; ford transit mk6; ford transit wiki; ford transit van; ford transit 2; ford transit dane techniczne; ford transit mk3; ford transit waga; ford transit ładowność; transit wiki,590; 590; 590; 480; 320; 260; 260; 170; 170; 170
/modele/renault-master/,"Renault Master – generacje, wersje, dane techniczne | BusManiak.pl",Renault Master – kompletny przewodnik po modelu,master renault master,27100,renault master 3; renault master wymiary; master 3; renault master l3h2 wymiary; renault master 5; renault master wikipedia; renault master ładowność; renault master wysokość; renault master dane techniczne; master l3h2 wymiary,5400; 1000; 880; 880; 480; 480; 260; 260; 210; 210
/modele/volkswagen-crafter/,"Volkswagen Crafter – generacje, wersje, dane techniczne | BusManiak.pl",Volkswagen Crafter – kompletny przewodnik po modelu,volkswagen volkswagen crafter,12100,volkswagen crafter wymiary; crafter 2.0 tdi; vw crafter maxi; volkswagen crafter wikipedia; vw crafter l2h2 wymiary; vw crafter l2h2 wymiary paki; vw crafter dane techniczne; vw crafter 2.0 tdi dane techniczne; volkswagen crafter dane techniczne; vw crafter maxi wymiary,590; 390; 210; 210; 210; 170; 140; 140; 140; 140
/modele/man-tge/,"MAN TGE – wersje, dane techniczne, ceny | BusManiak.pl",MAN TGE – kompletny przewodnik po modelu,furgon,1900,man tge wymiary; man tge wnętrze; man oznaczenie napędów; man tge dane techniczne; man furgon; tge ma; man tge 3.180 dane techniczne; man tge silniki; man wymiary; tge 3.180,170; 140; 90; 50; 50; 50; 40; 40; 40; 30
/modele/citroen-jumper/,"Citroën Jumper – generacje, wersje, dane techniczne | BusManiak.pl",Citroën Jumper – kompletny przewodnik po modelu,jumper 2,1000,citroën jumper wymiary; citroen jumper wymiary paki; citroën jumper 2; citroen jumper ii; citroen jumper l2h2 wymiary; citroen jumper l3h2 wymiary; citroen jumper dane techniczne; citroen jumper waga; citroen jumper wysokość; jumper wymiary,480; 170; 140; 110; 110; 110; 90; 90; 90; 90
/modele/peugeot-boxer/,"Peugeot Boxer – generacje, wersje, dane techniczne | BusManiak.pl",Peugeot Boxer – kompletny przewodnik po modelu,peugeot boxer dane techniczne,210,peugeot boxer 2; peugeot boxer wiki; peugeot boxer wikipedia; peugeot boxer maxi; renault boxer; boxer auto; peugeot boxer waga; boxer 2; peugeot boxer 335; peugeot boxer pojemność zbiornika paliwa,210; 170; 170; 110; 110; 110; 90; 70; 50; 50
