"URL","Title","H1","Fraza główna","Wolumen głównej","Frazy dodatkowe (SERP+DFSE)","Wolumeny dodatkowych","Podstrony silnikowe (box linkowania)","Typ","Parent model","Klaster"
"/modele/fiat-ducato/","Fiat Ducato – generacje, wersje, dane techniczne | BusManiak.pl","Fiat Ducato – kompletny przewodnik po modelu","fiat ducato","33100","fiat maxi ducato; fiat ducato maxi; fiat ducato kamper; kamper fiat ducato; fiat ducato wymiary; fiat ducato l3h2; fiat ducato 2025; fiat ducato l4h3; fiat ducato l2h2; fiat ducato l4h2","2400; 2400; 1600; 1000; 880; 880; 880; 720; 720; 590","Fiat Ducato 2.3 MultiJet (880); Fiat Ducato 3.0 MultiJet (480); Fiat Ducato 2.2 MultiJet (210); Fiat Ducato 2.8 JTD (210)","page","","modele"
"/modele/fiat-ducato-maxi/","Fiat Ducato Maxi – wersje, dane techniczne, ceny | BusManiak.pl","Fiat Ducato Maxi – kompletny przewodnik po modelu","fiat ducato maxi","2900","fiat ducato; fiat maxi ducato; ducato maxi; fiat ducato wymiary; fiat ducato l3h2; fiat ducato l3h2 wymiary; ducato maxi wymiary; ducato l3h2 wymiary; ducato wymiary; fiat ducato l2h2 wymiary","27100; 2400; 1300; 1000; 590; 590; 480; 480; 480; 480","","page","","modele"
"/modele/mercedes-sprinter/","Mercedes Sprinter – generacje, wersje, dane techniczne | BusManiak.pl","Mercedes Sprinter – kompletny przewodnik po modelu","mercedes sprinter","18100","mercedes benz sprinter van; mercedes-benz sprinter van; mercedes benz sprinter; mercedes-benz sprinter; sprinter mercedes; bus mercedes sprinter; mercedes sprinter bus; mercedes bus sprinter; mercedes sprinter wymiary; mercedes sprinter 906","18100; 18100; 2900; 2900; 1000; 720; 720; 720; 590; 590","","page","","modele"
"/modele/iveco-daily/","Iveco Daily – generacje, wersje, dane techniczne | BusManiak.pl","Iveco Daily – kompletny przewodnik po modelu","iveco daily","22200","iveco daily 3.0; iveco daily wywrotka; laweta iveco daily; iveco daily laweta; iveco daily autolaweta; autolaweta iveco daily; iveco daily wymiary; iveco daily 35c15; bus iveco daily; autobus iveco daily","2900; 1900; 1000; 1000; 1000; 1000; 880; 720; 720; 720","Iveco Daily 3.0 (2900)","page","","modele"
"/modele/ford-transit/","Ford Transit – generacje, wersje, dane techniczne | BusManiak.pl","Ford Transit – kompletny przewodnik po modelu","ford transit","33100","ford transit custom; ford transit connect; transit connect ford; ford transit courier kombi; ford courier transit; ford transit courier van; ford transit courier; transit courier ford; ford transit 9 osobowy; ford transit 2025","22200; 12100; 12100; 4400; 4400; 4400; 4400; 4400; 1300; 1000","","page","","modele"
"/modele/renault-master/","Renault Master – generacje, wersje, dane techniczne | BusManiak.pl","Renault Master – kompletny przewodnik po modelu","renault master","1000","renault master 3; renault master 2025; renault master 2; renault master 2 2; renault master 4; renault master iv; renault master 2024; renault master wymiary; renault master plandeka; master renault","5400; 3600; 2900; 2900; 1900; 1900; 1300; 1000; 1000; 1000","","page","","modele"
"/modele/volkswagen-crafter/","Volkswagen Crafter – generacje, wersje, dane techniczne | BusManiak.pl","Volkswagen Crafter – kompletny przewodnik po modelu","volkswagen crafter","12100","volkswagen vw crafter; volkswagen crafter 2.0 tdi; volkswagen crafter 2.5 tdi; volkswagen crafter 9 osobowy; volkswagen crafter 9-osobowy; volkswagen crafter 2025; volkswagen crafter wymiary; volkswagen crafter brygadówka; volkswagen crafter doka; volkswagen crafter camper","12100; 720; 590; 480; 480; 480; 480; 390; 320; 320","Volkswagen Crafter 2.0 TDI (390)","page","","modele"
"/modele/man-tge/","MAN TGE – wersje, dane techniczne, ceny | BusManiak.pl","MAN TGE – kompletny przewodnik po modelu","man tge","2900","furgon; man tge wymiary; man tge cennik; man tge 9 osobowy; man tge 3.180 opinie; man tge policja; man tge opinie; man oznaczenie napędów; man tge dane techniczne; man furgon","1900; 170; 170; 140; 110; 110; 110; 90; 50; 50","","page","","modele"
"/modele/citroen-jumper/","Citroën Jumper – generacje, wersje, dane techniczne | BusManiak.pl","Citroën Jumper – kompletny przewodnik po modelu","citroën jumper","22200","jumper 2; citroën jumper wymiary; citroen jumper wymiary paki; citroën jumper 2; citroen jumper ii; citroen jumper l2h2 wymiary; citroen jumper l3h2 wymiary; citroen jumper dane techniczne; citroen jumper waga; citroen jumper wysokość","1000; 480; 170; 140; 110; 110; 110; 90; 90; 90","","page","","modele"
"/modele/peugeot-boxer/","Peugeot Boxer – generacje, wersje, dane techniczne | BusManiak.pl","Peugeot Boxer – kompletny przewodnik po modelu","peugeot boxer","14800","peugeot boxer 3.0 hdi; boxer peugeot; peugeot boxer wymiary; service peugeot boxer; peugeot boxer 2025; peugeot boxer l2h2; peugeot boxer 2.2 hdi opinie; peugeot boxer l3h2; l3h2 peugeot boxer; peugeot boxer dane techniczne","590; 590; 390; 390; 260; 260; 260; 260; 260; 210","Peugeot Boxer 2.2 HDI (1600); Peugeot Boxer 2.0 HDI (390)","page","","modele"
"/modele/opel-movano/","Opel Movano – generacje, wersje, dane techniczne | BusManiak.pl","Opel Movano – kompletny przewodnik po modelu","opel movano","9900","opel movano 2025; movano opel; opel movano wymiary; opel movano 2024; opel movano b; opel movano l3h2; movano b; opel movano l2h2; opel movano 7 osobowy; opel movano 2.3 cdti","480; 480; 390; 260; 210; 210; 170; 170; 170; 170","Opel Movano 2.5 CDTI (480)","page","","modele"
"/modele/nissan-interstar/","Nissan Interstar – wersje, dane techniczne, ceny | BusManiak.pl","Nissan Interstar – kompletny przewodnik po modelu","nissan interstar","1600","interstar; nissan interstar 2.5 dci; nissan interstar wymiary","140; 110; 20","","page","","modele"
"/modele/maxus-deliver-9/","Maxus Deliver 9 – wersje, dane techniczne, ceny | BusManiak.pl","Maxus Deliver 9 – kompletny przewodnik po modelu","maxus deliver 9","720","maxus deliver 9 cena; maxus deliver 9 opinie; ldv maxus; maxus deliver 9 osobowy; maxus e-deliver 9; maxus deliver 9 co to za marka; maxus deliver 9 opinię; największy bus blaszak; największy minivan; delivery van","390; 390; 320; 320; 170; 110; 110; 90; 70; 50","","page","","modele"
"/modele/renault-trafic/","Renault Trafic – generacje, wersje, dane techniczne | BusManiak.pl","Renault Trafic – kompletny przewodnik po modelu","renault trafic","40500","trafic renault; trafic; renault trafic 9 osobowy; renault trafic long; renault trafic 2; renault trafic ii; renault trafic 3; renault trafic iii; renault trafić wymiary; renault trafic wymiary","40500; 5400; 4400; 1900; 1900; 1900; 1600; 1600; 1300; 1300","","page","","modele"
"/modele/toyota-proace/","Toyota Proace – generacje, wersje, dane techniczne | BusManiak.pl","Toyota Proace – kompletny przewodnik po modelu","toyota proace","40500","proace toyota; toyota proace city; toyota proace verso; toyota proace city verso; toyota proace max; proace; toyota proace long; toyota proace city long; toyota proace 9 osobowa; toyota proace city verso long","40500; 18100; 8100; 6600; 5400; 1600; 1300; 1000; 720; 590","","page","","modele"
"/modele/opel-vivaro/","Opel Vivaro – generacje, wersje, dane techniczne | BusManiak.pl","Opel Vivaro – kompletny przewodnik po modelu","opel vivaro","27100","vivaro opel; opel vivaro 9-osobowy; opel vivaro 9 osobowy; opel vivaro long; opel vivaro wymiary; opel vivaro westfalia; opel vivaro b; opel vivaro brygadówka; opel vivaro long 9-osobowy; opel vivaro blaszak","27100; 2900; 2900; 1000; 880; 720; 480; 480; 390; 390","Opel Vivaro 2.0 CDTI (1000); Opel Vivaro 1.9 CDTI (590); Opel Vivaro 2.5 CDTI (320)","page","","modele"
"/modele/citroen-jumpy/","Citroën Jumpy – generacje, wersje, dane techniczne | BusManiak.pl","Citroën Jumpy – kompletny przewodnik po modelu","citroën jumpy","22200","citroen jumpy; citroën jumpy wymiary; jumpy; citroen jumpy wymiary paki; citroen jumpy long; peugeot jumpy; citroen jumpy dane techniczne; jumpy wymiary; citroen jumpy 1; citroen jumpy 2","18100; 720; 720; 320; 210; 140; 110; 110; 110; 90","","page","","modele"
"/modele/peugeot-expert/","Peugeot Expert – generacje, wersje, dane techniczne | BusManiak.pl","Peugeot Expert – kompletny przewodnik po modelu","peugeot expert","9900","peugeot expert wymiary; peugeot expert long; peugeot expert 9 osobowy; expert peugeot; peugeot expert wymiary paki; peugeot expert travel; peugeot expert tepee; peugeot expert traveller; peugeot expert opinie; peugeot expert osobowy","590; 390; 390; 320; 260; 260; 260; 260; 210; 210","Peugeot Expert 2.0 HDI (1300)","page","","modele"
"/modele/mercedes-vito/","Mercedes Vito – generacje, wersje, dane techniczne | BusManiak.pl","Mercedes Vito – kompletny przewodnik po modelu","mercedes vito","18100","mb vito; merc vito; mercedes benz vito; mercedes-benz vito; mercedes vito 9 osobowy; mercedes vito tourer; vito mercedes; mercedes vito wymiary; mercedes vito 2025; mercedes vito osobowy","22200; 22200; 2900; 2900; 1900; 1300; 1300; 480; 480; 390","","page","","modele"
"/modele/ford-transit-custom/","Ford Transit Custom – generacje, wersje, dane techniczne | BusManiak.pl","Ford Transit Custom – kompletny przewodnik po modelu","ford transit custom","22200","ford custom; transit custom; ford transit custom wymiary; ford transit custom dostawcze; ford transit custom 9-osobowy; ford transit custom 9 osobowy; ford transit custom l2h1 wymiary; ford transit custom 2024; ford transit custom sport; ford transit custom opinie","8100; 2400; 880; 720; 480; 480; 390; 390; 320; 320","","page","","modele"
"/modele/volkswagen-transporter/","Volkswagen Transporter – generacje, wersje, dane techniczne | BusManiak.pl","Volkswagen Transporter – kompletny przewodnik po modelu","volkswagen transporter","12100","volkswagen transporter t5; vw transporter t5; volkswagen transporter t4; vw transporter t6; volkswagen transporter t6; volkswagen t7 transporter; t5 volkswagen transporter; transporter t5; volkswagen transporter t3; volkswagen transporter t4 2.5 tdi","5400; 4400; 3600; 2900; 2900; 2400; 1900; 1600; 1000; 1000","","page","","modele"
"/modele/fiat-scudo/","Fiat Scudo – generacje, wersje, dane techniczne | BusManiak.pl","Fiat Scudo – kompletny przewodnik po modelu","fiat scudo","14800","scudo fiat; scudo; fiat scudo 9 osobowy; fiat scudo wymiary; fiat scudo 2025; fiat scudo opinie; fiat scudo wymiary paki; fiat scudo osobowy; fiat scudo long; fiat scudo 2024","14800; 1300; 880; 590; 480; 390; 320; 320; 260; 260","","page","","modele"
"/modele/hyundai-staria/","Hyundai Staria – wersje, dane techniczne, ceny | BusManiak.pl","Hyundai Staria – kompletny przewodnik po modelu","hyundai staria","9900","hyundai staria cena; hyundai staria wnętrze; hyundai staria wymiary; hyundai staria interior; hyundai staria dane techniczne; hyundai staria w polsce","880; 390; 170; 170; 50; 30","","page","","modele"
"/modele/nissan-nv300/","Nissan NV300 – wersje, dane techniczne, ceny | BusManiak.pl","Nissan NV300 – kompletny przewodnik po modelu","nissan nv300","1300","nv300; nissan nv300 wymiary","50; 30","","page","","modele"
"/modele/citroen-berlingo/","Citroën Berlingo – generacje, wersje, dane techniczne | BusManiak.pl","Citroën Berlingo – kompletny przewodnik po modelu","citroën berlingo","40500","citroen berlingo; cıtroen berlingo; berlingo; berlingo 2; citroen berlingo 2; citroën berlingo 2; citroen multispace berlingo; citroën berlingo van; citroen berlingo wymiary; citroen citroen berlingo","33100; 33100; 8100; 1000; 1000; 1000; 720; 720; 590; 590","1.6 HDI (2900); Long (720); Multispace (720); Van (720); 7-osobowy (480); XL (390); dostawczy (390); Citroën ë-Berlingo (110)","page","","modele"
"/modele/peugeot-partner/","Peugeot Partner – generacje, wersje, dane techniczne | BusManiak.pl","Peugeot Partner – kompletny przewodnik po modelu","peugeot partner","22200","1.6 hdi peugeot partner; peugeot tepee partner; peugeot partner tepee; partner peugeot; peugeot partner long; peugeot partner tepee 1.6 hdi; peugeot partner 2; peugeot partner 1; peugeot partner 2025; peugeot partner wikipedia","2900; 1600; 1600; 880; 880; 720; 590; 390; 390; 320","Peugeot Partner 1.6 HDI (2900)","page","","modele"
"/modele/renault-kangoo/","Renault Kangoo – generacje, wersje, dane techniczne | BusManiak.pl","Renault Kangoo – kompletny przewodnik po modelu","renault kangoo","22200","kangoo; renault kangoo 1.5 dci; renault kangoo 4x4; renault 4x4 kangoo; kangoo renault 4x4; kangoo renault; renault kangoo 2; renault kangoo max; renault kangoo maxi; renault kangoo 2025","2900; 1600; 1600; 1600; 1600; 1000; 880; 880; 880; 720","Renault Kangoo 1.5 dCi (480)","page","","modele"
"/modele/opel-combo/","Opel Combo – generacje, wersje, dane techniczne | BusManiak.pl","Opel Combo – kompletny przewodnik po modelu","opel combo","18100","opel combo van; combo opel; combo; opel combo c van; opel combo c; opel combo life; opel combo 1.6; opel combo d van; opel combo d; opel combo maxi","18100; 18100; 5400; 1300; 1300; 880; 720; 590; 590; 390","Opel Combo 1.6 CDTI (720); Opel Combo 1.3 CDTI (480)","page","","modele"
"/modele/volkswagen-caddy/","Volkswagen Caddy – generacje, wersje, dane techniczne | BusManiak.pl","Volkswagen Caddy – kompletny przewodnik po modelu","volkswagen caddy","40500","vw caddy; caddy vw van; volkswagen volkswagen caddy; caddy; volkswagen caddy maxi; caddy volkswagen; volkswagen caddy 2025; volkswagen caddy wymiary; volkswagen caddy 7 osobowy; volkswagen caddy 3","40500; 40500; 40500; 8100; 3600; 1900; 880; 720; 720; 720","","page","","modele"
"/modele/ford-transit-connect/","Ford Transit Connect – generacje, wersje, dane techniczne | BusManiak.pl","Ford Transit Connect – kompletny przewodnik po modelu","ford transit connect","12100","transit connect ford; ford van transit connect; ford connect; transit connect; ford transit connect long; ford connect long; ford transit connect wymiary; ford transit connect l2; ford connect l2; ford connect wymiary","12100; 9900; 8100; 2400; 720; 590; 390; 260; 210; 210","","page","","modele"
"/modele/ford-transit-courier/","Ford Transit Courier – wersje, dane techniczne, ceny | BusManiak.pl","Ford Transit Courier – kompletny przewodnik po modelu","ford transit courier","4400","ford transit courier van; ford courier van; ford transit courier kombi; ford courier transit; transit courier ford; transit courier; ford transit courier wymiary; ford transit courier 5-osobowy; ford transit courier 5 osobowy; ford transit courier wymiary przestrzeni ładunkowej","4400; 4400; 4400; 4400; 4400; 880; 210; 140; 140; 110","","page","","modele"
"/modele/mercedes-citan/","Mercedes Citan – wersje, dane techniczne, ceny | BusManiak.pl","Mercedes Citan – kompletny przewodnik po modelu","mercedes citan","8100","mb citan; mercedes benz citan; mercedes-benz citan; citan tourer mercedes; citan mercedes; citan; mercedes citan opinie; mercedes citan tourer; mercedes benz citan long; mercedes citan long","8100; 8100; 8100; 8100; 8100; 720; 260; 210; 210; 210","","page","","modele"
"/modele/toyota-proace-city/","Toyota Proace City – wersje, dane techniczne, ceny | BusManiak.pl","Toyota Proace City – kompletny przewodnik po modelu","toyota proace city","18100","toyota proace city verso; toyota proace city long; toyota proace city verso long; toyota proace city verso 7 osobowy; toyota proace city verso 7-osobowy; toyota proace city wymiary; toyota proace city verso 1.5 d-4d; toyota proace city opinie; toyota proace city furgon; toyota proace city 2025","6600; 1000; 590; 390; 390; 320; 320; 320; 260; 260","","page","","modele"
"/modele/nissan-nv200/","Nissan NV200 – generacje, wersje, dane techniczne | BusManiak.pl","Nissan NV200 – kompletny przewodnik po modelu","nissan nv200","4400","nissan e nv200; nissan e-nv200; nissan nv200 wymiary; nissan nv200 opinie; nissan nv200 7 osobowy; nissan nv200 wymiary paki; nissan evalia nv200; nissan nv200 1.6 benzyna; nissan nv200 1.5 dci opinie; nissan nv200 opinie forum","390; 390; 260; 260; 140; 110; 110; 110; 110; 110","","page","","modele"
"/modele/fiat-fiorino/","Fiat Fiorino – generacje, wersje, dane techniczne | BusManiak.pl","Fiat Fiorino – kompletny przewodnik po modelu","fiat fiorino","9900","fiorino fiat; fiorino; fiat fiorino wymiary paki; fiat fiorino 1.4 benzyna; fiat fiorino wymiary; fiat fiorino qubo; fiat fiorino opinie; fiorino wymiary paki; fiat fiorino 5 osobowy; fiat fiorino dane techniczne","9900; 1300; 390; 320; 210; 140; 140; 90; 90; 70","Fiat Fiorino 1.3 MultiJet (480)","page","","modele"
"/modele/fiat-doblo/","Fiat Doblò – generacje, wersje, dane techniczne | BusManiak.pl","Fiat Doblò – kompletny przewodnik po modelu","fiat doblò","27100","fiat doblo; fiat doblo maxi; doblo; doblo maxi; fiat doblo wiki; fiat doblo 2; fiat doblo 7 osób; doblo maxi wymiary; fiat doblo wymiary paki; fiat doblo wymiary przestrzeni ladunkowej","27100; 5400; 1900; 1000; 480; 320; 320; 320; 260; 260","","page","","modele"
