URL	Title	H1	Fraza główna	Wolumen głównej	Frazy dodatkowe (SERP+DFSE)	Wolumeny dodatkowych
/modele/fiat-ducato/	Fiat Ducato – generacje, wersje, dane techniczne | BusManiak.pl	Fiat Ducato – kompletny przewodnik po modelu	fiat ducato	33100	fiat maxi ducato; fiat ducato maxi; fiat ducato kamper; kamper fiat ducato; fiat ducato wymiary; fiat ducato l3h2; fiat ducato 2025; fiat ducato l4h3; fiat ducato l2h2; fiat ducato l4h2	2400; 2400; 1600; 1000; 880; 880; 880; 720; 720; 590
/modele/fiat-ducato-maxi/	Fiat Ducato Maxi – wersje, dane techniczne, ceny | BusManiak.pl	Fiat Ducato Maxi – kompletny przewodnik po modelu	fiat ducato maxi	2900	fiat ducato; fiat maxi ducato; ducato maxi; fiat ducato wymiary; fiat ducato l3h2; fiat ducato l3h2 wymiary; ducato maxi wymiary; ducato l3h2 wymiary; ducato wymiary; fiat ducato l2h2 wymiary	27100; 2400; 1300; 1000; 590; 590; 480; 480; 480; 480
/modele/mercedes-sprinter/	Mercedes Sprinter – generacje, wersje, dane techniczne | BusManiak.pl	Mercedes Sprinter – kompletny przewodnik po modelu	mercedes sprinter	18100	mercedes benz sprinter van; mercedes-benz sprinter van; mercedes benz sprinter; mercedes-benz sprinter; sprinter mercedes; bus mercedes sprinter; mercedes sprinter bus; mercedes bus sprinter; mercedes sprinter wymiary; mercedes sprinter 906	18100; 18100; 2900; 2900; 1000; 720; 720; 720; 590; 590
/modele/iveco-daily/	Iveco Daily – generacje, wersje, dane techniczne | BusManiak.pl	Iveco Daily – kompletny przewodnik po modelu	iveco daily	22200	iveco daily 3.0; iveco daily wywrotka; laweta iveco daily; iveco daily laweta; iveco daily autolaweta; autolaweta iveco daily; iveco daily wymiary; iveco daily 35c15; bus iveco daily; autobus iveco daily	2900; 1900; 1000; 1000; 1000; 1000; 880; 720; 720; 720
/modele/ford-transit/	Ford Transit – generacje, wersje, dane techniczne | BusManiak.pl	Ford Transit – kompletny przewodnik po modelu	ford transit	33100	ford transit custom; ford transit connect; transit connect ford; ford transit courier kombi; ford courier transit; ford transit courier van; ford transit courier; transit courier ford; ford transit 9 osobowy; ford transit 2025	22200; 12100; 12100; 4400; 4400; 4400; 4400; 4400; 1300; 1000
/modele/renault-master/	Renault Master – generacje, wersje, dane techniczne | BusManiak.pl	Renault Master – kompletny przewodnik po modelu	renault master	1000	renault master 3; renault master 2025; renault master 2; renault master 2 2; renault master 4; renault master iv; renault master 2024; renault master wymiary; renault master plandeka; master renault	5400; 3600; 2900; 2900; 1900; 1900; 1300; 1000; 1000; 1000
/modele/volkswagen-crafter/	Volkswagen Crafter – generacje, wersje, dane techniczne | BusManiak.pl	Volkswagen Crafter – kompletny przewodnik po modelu	volkswagen crafter	12100	volkswagen vw crafter; volkswagen crafter 2.0 tdi; volkswagen crafter 2.5 tdi; volkswagen crafter 9 osobowy; volkswagen crafter 9-osobowy; volkswagen crafter 2025; volkswagen crafter wymiary; volkswagen crafter brygadówka; volkswagen crafter doka; volkswagen crafter camper	12100; 720; 590; 480; 480; 480; 480; 390; 320; 320
/modele/man-tge/	MAN TGE – wersje, dane techniczne, ceny | BusManiak.pl	MAN TGE – kompletny przewodnik po modelu	man tge	2900	furgon; man tge wymiary; man tge cennik; man tge 9 osobowy; man tge 3.180 opinie; man tge policja; man tge opinie; man oznaczenie napędów; man tge dane techniczne; man furgon	1900; 170; 170; 140; 110; 110; 110; 90; 50; 50
/modele/citroen-jumper/	Citroën Jumper – generacje, wersje, dane techniczne | BusManiak.pl	Citroën Jumper – kompletny przewodnik po modelu	citroën jumper	22200	jumper 2; citroën jumper wymiary; citroen jumper wymiary paki; citroën jumper 2; citroen jumper ii; citroen jumper l2h2 wymiary; citroen jumper l3h2 wymiary; citroen jumper dane techniczne; citroen jumper waga; citroen jumper wysokość	1000; 480; 170; 140; 110; 110; 110; 90; 90; 90
/modele/peugeot-boxer/	Peugeot Boxer – generacje, wersje, dane techniczne | BusManiak.pl	Peugeot Boxer – kompletny przewodnik po modelu	peugeot boxer	14800	peugeot boxer 3.0 hdi; boxer peugeot; peugeot boxer wymiary; service peugeot boxer; peugeot boxer 2025; peugeot boxer l2h2; peugeot boxer 2.2 hdi opinie; peugeot boxer l3h2; l3h2 peugeot boxer; peugeot boxer dane techniczne	590; 590; 390; 390; 260; 260; 260; 260; 260; 210
/modele/opel-movano/	Opel Movano – generacje, wersje, dane techniczne | BusManiak.pl	Opel Movano – kompletny przewodnik po modelu	opel movano	9900	opel movano 2025; movano opel; opel movano wymiary; opel movano 2024; opel movano b; opel movano l3h2; movano b; opel movano l2h2; opel movano 7 osobowy; opel movano 2.3 cdti	480; 480; 390; 260; 210; 210; 170; 170; 170; 170
/modele/nissan-interstar/	Nissan Interstar – wersje, dane techniczne, ceny | BusManiak.pl	Nissan Interstar – kompletny przewodnik po modelu	nissan interstar	1600	interstar; nissan interstar 2.5 dci; nissan interstar wymiary	140; 110; 20
/modele/maxus-deliver-9/	Maxus Deliver 9 – wersje, dane techniczne, ceny | BusManiak.pl	Maxus Deliver 9 – kompletny przewodnik po modelu	maxus deliver 9	720	maxus deliver 9 cena; maxus deliver 9 opinie; ldv maxus; maxus deliver 9 osobowy; maxus e-deliver 9; maxus deliver 9 co to za marka; maxus deliver 9 opinię; największy bus blaszak; największy minivan; delivery van	390; 390; 320; 320; 170; 110; 110; 90; 70; 50
/modele/renault-trafic/	Renault Trafic – generacje, wersje, dane techniczne | BusManiak.pl	Renault Trafic – kompletny przewodnik po modelu	renault trafic	40500	trafic renault; trafic; renault trafic 9 osobowy; renault trafic long; renault trafic 2; renault trafic ii; renault trafic 3; renault trafic iii; renault trafić wymiary; renault trafic wymiary	40500; 5400; 4400; 1900; 1900; 1900; 1600; 1600; 1300; 1300
/modele/toyota-proace/	Toyota Proace – generacje, wersje, dane techniczne | BusManiak.pl	Toyota Proace – kompletny przewodnik po modelu	toyota proace	40500	proace toyota; toyota proace city; toyota proace verso; toyota proace city verso; toyota proace max; proace; toyota proace long; toyota proace city long; toyota proace 9 osobowa; toyota proace city verso long	40500; 18100; 8100; 6600; 5400; 1600; 1300; 1000; 720; 590
