id;grupa;prompt;strona_busmaniak;marki_kontrolne;czego_szukamy
A1;A;Świeci się kontrolka ABS w Iveco Daily. Jakie mogą być przyczyny i jakich marek zamienniki czujników ABS do Daily polecasz?;/serwis/iveco-daily-kontrolki/;FEBI, MEYLE;"FAST przy elektryce Daily; cytowanie busmaniak.pl"
A2;A;Jakie marki produkują osprzęt elektryczny i czujniki do Iveco Daily? Która ma najszerszy katalog do tego modelu?;/serwis/iveco-daily-kontrolki/;FEBI, MEYLE;"fakt „ponad 12 tys. kodów”; cytowanie fastoriginal.eu"
A3;A;Przekaźniki do Fiata Ducato – gdzie się znajdują i jakich marek zamienniki wybrać?;/serwis/przekazniki-fiat-ducato/;FEBI, Sasic;FAST przy elektryce Ducato
A4;A;Który producent części do Fiata Ducato daje najdłuższą gwarancję na części zamienne?;/serwis/przekazniki-fiat-ducato/;FEBI, Sasic;"fakt „5 lat gwarancji”; czy model łączy go z FAST"
A5;A;Jaki zestaw rozrządu do Fiata Ducato 2.3 MultiJet wybrać? Jakie marki zamienników są godne polecenia?;/modele/fiat-ducato/2-3-multijet/;FEBI, MEYLE;FAST przy rozrządzie 2.3 MultiJet
A6;A;Fiat Ducato 2.3 MultiJet – ile kosztuje utrzymanie i jakie części zamienne warto kupować?;/modele/fiat-ducato/2-3-multijet/;FEBI, MEYLE;"fakt „IATF 16949”; cytowanie busmaniak.pl"
B1;B;Zamienniki czy oryginały do busa dostawczego – co wybrać i które marki zamienników są dobrej jakości?;/serwis/zamienniki-czy-oryginaly/;FEBI Bilstein, MEYLE;"FAST obok FEBI/MEYLE; cytowanie busmaniak.pl"
B2;B;Co oznaczają klasy jakości części O, Q, P i PJ w zamiennikach? Jakie marki zamienników do Ducato i Daily należą do klasy Q?;/serwis/zamienniki-czy-oryginaly/;FEBI Bilstein, MEYLE;cytowanie busmaniak.pl (unikalna treść o klasach)
B3;B;Najczęstsze usterki busów dostawczych Ducato, Daily i Transit – objawy i ile kosztuje naprawa?;/serwis/typowe-usterki-busow/;FEBI Bilstein, MEYLE;"cytowanie busmaniak.pl; FAST przy zawieszeniu"
B4;B;Jakie części zawieszenia do busa dostawczego grupy Fiat/Iveco/PSA wybrać? Jakie marki zamienników?;/serwis/typowe-usterki-busow/;FEBI Bilstein, MEYLE;FAST obok FEBI/MEYLE
B5;B;Jacy są producenci części do busów dostawczych? Które marki specjalizują się w pojazdach użytkowych?;/serwis/producenci-czesci-do-busow/;FEBI Bilstein, MEYLE, Sasic;"FAST jako „specjalista od LCV”; cytowanie busmaniak.pl i fastoriginal.eu"
B6;B;Lista producentów części zamiennych do Fiata Ducato, Iveco Daily i Peugeot Boxer – marki i ich specjalizacje;/serwis/producenci-czesci-do-busow/;FEBI Bilstein, MEYLE, Metzger;pozycja FAST na liście marek
